Sample: NiMnInSn
time          time2         time3         T control     T sample      Field (T)
05:49:12      05:49:12      05:49:12      255.003       250.812       0.0000
05:49:13      05:49:13      05:49:13      255.003       250.810       0.0000
05:49:14      05:49:14      05:49:14      255.002       250.811       0.0000
05:49:15      05:49:15      05:49:15      255.001       250.808       0.0000
05:49:16      05:49:16      05:49:16      255.003       250.813       0.0000
05:49:17      05:49:17      05:49:17      255.002       250.816       0.0000
05:49:19      05:49:19      05:49:19      255.001       250.820       0.0000
05:49:20      05:49:20      05:49:20      255.002       250.817       0.0000
05:49:21      05:49:21      05:49:21      255.001       250.820       0.0000
05:49:22      05:49:22      05:49:22      255.001       250.818       0.0000
05:49:23      05:49:23      05:49:23      255.001       250.815       0.0000
05:49:24      05:49:24      05:49:24      255.001       250.812       0.0000
05:49:25      05:49:25      05:49:25      255.002       250.811       0.0000
05:49:26      05:49:26      05:49:26      255.002       250.807       0.0000
05:49:27      05:49:27      05:49:27      255.001       250.803       0.0000
05:49:28      05:49:28      05:49:28      255.000       250.802       0.0000
05:49:29      05:49:29      05:49:29      255.000       250.799       0.0000
05:49:30      05:49:30      05:49:30      255.000       250.798       0.0000
05:49:31      05:49:31      05:49:31      255.000       250.796       0.0000
05:49:32      05:49:32      05:49:32      255.000       250.797       0.0000
05:49:33      05:49:33      05:49:33      255.000       250.794       0.0000
05:49:34      05:49:34      05:49:34      255.000       250.792       0.0000
05:49:35      05:49:35      05:49:35      255.000       250.795       0.0000
05:49:36      05:49:36      05:49:36      255.000       250.796       0.0000
05:49:38      05:49:38      05:49:38      255.000       250.797       0.0000
05:49:39      05:49:39      05:49:39      254.999       250.796       0.0000
05:49:40      05:49:40      05:49:40      255.000       250.795       0.0000
05:49:41      05:49:41      05:49:41      255.000       250.797       0.0000
05:49:42      05:49:42      05:49:42      254.999       250.795       0.0000
05:49:43      05:49:43      05:49:43      254.999       250.796       0.0000
05:49:44      05:49:44      05:49:44      254.999       250.795       0.0000
05:49:45      05:49:45      05:49:45      254.999       250.797       0.0000
05:49:46      05:49:46      05:49:46      254.998       250.794       0.0000
05:49:47      05:49:47      05:49:47      254.998       250.793       0.0000
05:49:48      05:49:48      05:49:48      254.999       250.792       0.0000
05:49:49      05:49:49      05:49:49      254.999       250.788       0.0000
05:49:50      05:49:50      05:49:50      255.000       250.788       0.0000
05:49:51      05:49:51      05:49:51      254.999       250.786       0.0000
05:49:52      05:49:52      05:49:52      255.000       250.787       0.0000
05:49:53      05:49:53      05:49:53      255.000       250.786       0.0000
05:49:55      05:49:55      05:49:55      254.999       250.783       0.0000
05:49:56      05:49:56      05:49:56      254.999       250.784       0.0000
05:49:57      05:49:57      05:49:57      255.001       250.785       0.0000
